"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1","td_team_2"
"100",1,0.591836734693878,0.982647635040582,0,0.126315789473684,0,0,0,0,0.326923076923077,0,0,0,0,0,1,1,0,0,0,0
"101",1,0.591836734693878,0.894766302826756,0,0.126315789473684,0,0,0,0,0.326923076923077,0,1,0,0,1,0,0,0,0,0,0
"102",1,0.346938775510204,0.446403582423734,0,0.136842105263158,0,0,0,0,0.326923076923077,0,0,0,0,1,0,0,0,0,0,0
"103",0,0.887755102040816,0.7120067170445,0,0.136842105263158,0,0,0,0,0.326923076923077,0,1,0,0,0,1,0,1,0,0,0
"104",0,0.755102040816326,0.605373635600336,0,0.126315789473684,0,0,0,0,0.269230769230769,0,0,0,0,0,0,0,0,1,0,0
"105",0,0.244897959183673,0.526168485866219,0,0.136842105263158,1,0,0,0,0.269230769230769,0,0,0,0,1,0,0,0,0,0,0
"106",0,0.755102040816326,0.496221662468514,0,0.126315789473684,0,0,0,0,0.346153846153846,0,0,0,0,0,1,0,1,0,0,0
"107",1,0.63265306122449,0.71536523929471,0,0.136842105263158,0,0,0,0,0.211538461538462,0,0,0,0,1,0,0,0,0,0,0
"108",1,0.591836734693878,0.972012314581584,0,0.136842105263158,1,0,0,0,0.326923076923077,0,0,0,0,0,1,0,1,0,0,0
"109",1,0.520408163265306,0.925552756787014,0,0.126315789473684,1,0,0,0,0.326923076923077,0,0,0,0,0,1,0,0,1,0,0
"110",1,0.397959183673469,0.673943464875455,0,0.126315789473684,0,0,0,0,0.384615384615385,0,1,0,0,0,0,1,0,0,0,0
"111",1,0.5,0.39434648754548,0,0.126315789473684,1,0,1,1,0.442307692307692,0,0,0,0,0,1,1,0,0,0,0
