"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1"
"189",1,0.36734693877551,0.214165261382799,0,0.102272727272727,1,0,0,0,0.358490566037736,1,0,1,0,0,0,0,0,1,0
"190",0,0.673469387755102,0.967397414277684,0,0.125,0,0,0,0,0.660377358490566,0,0,0,0,0,1,1,0,0,0
"191",0,0.724489795918367,0.998032602585722,0,0.113636363636364,0,0,0,0,0.660377358490566,0,0,0,0,0,1,0,0,1,0
"192",0,0.704081632653061,0.415120854412591,0,0.113636363636364,0,0,0,0,0.188679245283019,0,0,0,0,1,0,0,0,0,0
"193",0,0.0306122448979592,0.196177627880832,1,0.113636363636364,1,1,0,0,0.207547169811321,0,1,0,0,0,0,0,1,0,0
"194",0,0.336734693877551,0.0975267003934795,0,0.113636363636364,1,1,0,0,0.188679245283019,0,1,0,0,0,1,0,1,0,0
"195",1,0.357142857142857,0.869308600337268,0,0.125,1,0,0,0,0.660377358490566,0,0,0,0,0,0,1,0,0,0
"196",1,0.755102040816326,0.791736930860034,0,0.113636363636364,0,0,0,0,0.415094339622642,0,0,0,0,1,0,0,0,0,0
"197",1,0.0612244897959184,0.232996065205171,1,0.125,1,0,0,0,0.283018867924528,0,0,0,0,1,0,0,0,0,0
"198",1,0.0714285714285714,0.134907251264755,1,0.125,1,1,1,1,0.433962264150943,0,0,0,0,0,0,1,0,0,0
"199",1,0.806122448979592,0.0480607082630691,0,0.125,1,0,1,1,0.433962264150943,0,0,1,0,1,0,0,0,0,0
"200",1,0.571428571428571,0.970489038785835,0,0.113636363636364,0,0,0,0,0.660377358490566,0,1,0,0,1,0,0,0,0,0
"201",1,0.387755102040816,0.925519955030916,0,0.113636363636364,1,0,0,0,0.660377358490566,0,0,0,0,0,0,1,0,0,0
"202",1,0.102040816326531,0.882237211916807,0,0.113636363636364,1,0,1,1,0.660377358490566,0,0,1,0,0,0,1,0,0,0
"203",1,0.612244897959184,0.439010680157392,0,0.102272727272727,0,0,0,0,0.132075471698113,1,0,0,1,1,0,0,0,0,0
"204",1,0.540816326530612,0.113265879707701,0,0.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"205",0,0.122448979591837,0.897414277684092,0,0.113636363636364,1,0,1,1,0.528301886792453,0,0,1,0,1,0,0,0,0,0
"206",0,0.663265306122449,0.826587970770096,0,0.113636363636364,1,0,0,0,0.528301886792453,0,1,0,0,0,0,1,0,0,0
"207",0,0.397959183673469,0.345418774592468,0,0.113636363636364,1,0,0,0,0.415094339622642,0,1,0,0,0,1,1,0,0,0
"208",0,0.591836734693878,0.121978639685216,0,0.0909090909090909,0,0,0,0,0.471698113207547,1,0,0,1,0,0,0,0,1,0
"209",0,0.612244897959184,0.878021360314784,0,0.113636363636364,0,0,0,0,0.39622641509434,0,1,0,0,0,0,0,1,0,0
"210",0,0.551020408163265,0.699269252388983,0,0.113636363636364,0,0,0,0,0.39622641509434,0,0,0,0,0,0,0,1,0,0
"211",0,0.948979591836735,0.566610455311973,0,0.113636363636364,0,0,0,0,0.452830188679245,0,1,0,0,0,1,0,1,0,0
"212",0,0.581632653061224,0.482012366498033,0,0.125,0,0,0,0,0.39622641509434,0,0,0,0,0,1,0,0,1,0
"213",0,0.714285714285714,0.353288364249578,0,0.113636363636364,0,0,1,1,0.39622641509434,0,0,0,0,0,1,1,0,0,0
"214",0,0.142857142857143,0.305227655986509,0,0.113636363636364,0,0,0,0,0.39622641509434,0,1,0,0,0,0,0,1,0,0
"215",0,0.112244897959184,0.29229904440697,0,0.113636363636364,1,0,1,1,0.39622641509434,0,0,1,0,0,1,1,0,0,0
"216",0,0.673469387755102,0.128442945474986,0,0.113636363636364,1,0,1,1,0.433962264150943,0,1,0,0,0,1,1,0,0,0
"217",1,0.0510204081632653,0.866498032602586,1,0.125,1,0,0,0,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"218",1,0.377551020408163,0.711635750421585,0,0.113636363636364,0,0,0,0,0.528301886792453,0,1,0,0,1,0,0,0,0,0
"219",1,0.724489795918367,0.481450252951096,0,0.102272727272727,0,0,0,0,0.584905660377358,1,1,0,0,1,0,0,0,0,0
"220",1,0.326530612244898,0.410905002810568,0,0.125,1,0,0,0,0.584905660377358,0,1,0,0,1,0,0,0,0,0
"221",1,0.112244897959184,0.0326025857223159,0,0.102272727272727,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
"222",1,0.36734693877551,0.853569421023047,0,0.102272727272727,0,0,0,0,0.471698113207547,0,0,0,0,1,0,0,0,0,0
"223",1,0.693877551020408,0.4761101742552,0,0.0909090909090909,0,0,0,0,0.471698113207547,0,1,0,0,1,0,0,0,0,0
"224",1,0.275510204081633,0.406408094435076,0,0.102272727272727,0,0,0,0,0.471698113207547,0,1,0,0,1,0,0,0,0,0
"225",1,0.795918367346939,0.170601461495222,0,0.102272727272727,1,0,0,0,0.207547169811321,0,0,0,0,0,1,1,0,0,0
"226",0,0.63265306122449,0.982293423271501,0,0.0909090909090909,0,0,0,0,0.660377358490566,0,0,0,0,1,0,0,0,0,0
"227",0,0.714285714285714,0.914277684092187,0,0.102272727272727,0,0,0,0,0.660377358490566,0,1,0,0,0,0,0,0,1,0
"228",0,0.857142857142857,0.777403035413153,0,0.0909090909090909,0,0,0,0,0.60377358490566,0,0,0,0,0,1,0,1,0,0
"229",0,0.673469387755102,0.747048903878583,0,0.102272727272727,1,0,1,1,0.60377358490566,0,1,0,0,1,0,0,0,0,0
