"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"32",0,64,2590,1,0,3,1,0,0,0,"right","guard",0,3,0,0
"36",0,39,1822,1,0,4,1,0,1,1,"right","tackle",0,0,0,0
"40",0,76,1357,2,0,3,1,0,0,0,"right","tackle",0,3,0,0
"46",0,76,927,3,0,2,1,0,0,0,"middle","center",0,3,1,0
"50",0,2,701,4,0,2,1,0,0,0,"middle","center",2,3,1,0
"56",1,75,3360,2,0,4,1,0,0,0,"middle","center",0,-7,0,0
"57",1,74,3086,1,0,4,0,0,0,0,"middle","center",0,-14,0,0
"61",1,67,2489,1,0,4,0,0,0,0,"middle","center",0,-14,0,0
"67",1,58,2106,3,0,2,0,0,0,0,"middle","center",0,-14,1,0
"69",1,15,1636,1,0,4,1,0,0,0,"middle","center",0,-14,0,0
"83",0,74,2886,1,0,4,1,0,0,0,"right","end",0,4,0,0
"84",0,69,2771,1,0,3,0,0,0,0,"middle","center",0,4,0,0
"86",0,64,2323,1,0,3,0,0,0,0,"right","guard",0,11,0,0
"88",0,55,2251,3,0,2,0,0,0,0,"middle","center",0,11,1,0
"102",0,61,2435,2,0,4,0,0,0,0,"left","guard",0,14,0,0
"106",0,75,1527,1,0,4,0,0,0,0,"left","guard",0,4,0,0
"108",0,32,1371,2,0,4,1,0,1,1,"left","guard",0,4,0,0
"114",0,26,831,1,0,3,0,0,0,0,"right","tackle",0,4,0,0
"124",1,61,3261,2,0,2,0,0,0,0,"middle","center",0,0,1,0
"134",1,10,1501,2,0,4,0,0,0,0,"middle","center",0,0,1,0
"135",1,6,1457,2,1,3,1,0,0,0,"right","end",0,0,0,0
"137",1,48,935,1,0,4,0,0,0,0,"middle","center",0,0,0,0
"140",1,60,550,1,0,4,0,0,0,0,"right","end",0,7,0,0
"143",1,41,242,2,0,3,0,0,0,0,"middle","center",0,7,0,0
"145",1,9,120,2,0,2,0,0,0,0,"middle","center",0,7,1,0
"146",0,99,3339,1,0,4,0,0,0,0,"right","guard",0,0,0,0
"148",0,43,2910,1,0,4,0,0,0,0,"right","guard",0,0,0,0
"156",0,41,1744,1,0,3,0,0,0,0,"right","tackle",0,1,0,0
"168",1,47,3146,4,0,2,0,0,0,0,"middle","center",0,-6,1,0
"169",1,27,3040,2,0,3,0,0,0,0,"middle","center",0,-6,0,0
"171",1,85,2702,2,0,4,1,0,0,0,"left","end",0,-6,0,0
"173",1,75,1977,1,0,4,1,0,0,0,"right","end",0,-9,0,0
"174",1,69,1766,2,0,3,0,0,0,0,"middle","center",0,-12,0,0
"175",1,67,1308,2,0,3,1,0,0,0,"left","end",0,-12,0,0
"176",1,59,989,1,0,3,0,0,0,0,"left","end",0,-15,0,0
"184",1,94,3030,1,0,4,1,0,0,0,"left","guard",0,3,0,0
"186",1,81,2937,1,0,3,1,0,0,0,"middle","center",0,3,0,0
"187",1,78,2906,2,0,4,1,0,0,0,"right","tackle",0,3,0,0
"189",1,62,2581,1,0,3,1,0,0,0,"left","tackle",0,3,0,0
"190",1,59,2546,2,0,4,1,0,0,0,"middle","center",0,3,0,0
"194",1,27,2330,1,0,4,0,0,0,0,"middle","center",0,3,0,0
"206",1,68,391,1,0,4,1,0,0,0,"middle","center",0,16,0,0
"214",0,76,3107,1,0,4,0,0,0,0,"right","end",0,-7,0,0
"222",0,43,2506,1,0,3,0,0,0,0,"middle","center",0,0,0,0
"224",0,24,2425,1,0,3,1,0,0,0,"middle","center",0,0,0,0
"226",0,80,2168,1,0,3,0,0,0,0,"left","end",0,3,0,0
"228",0,67,1779,1,0,4,0,0,0,0,"middle","center",0,3,0,0
"239",0,11,812,1,0,4,0,0,0,0,"left","tackle",0,17,0,0
"246",0,54,321,2,0,3,1,0,0,0,"right","end",0,24,0,0
"252",0,44,2860,1,0,3,1,1,0,0,"right","guard",0,0,0,0
"254",0,12,2735,3,0,2,0,1,0,0,"middle","center",0,0,1,0
"263",0,80,1403,1,0,3,0,0,0,0,"right","tackle",0,25,0,0
"269",0,12,685,1,0,4,0,0,0,0,"right","end",0,18,0,0
"272",0,89,287,1,0,4,0,0,0,0,"middle","center",0,22,0,0
"274",0,84,277,3,0,3,0,0,0,0,"right","end",0,22,0,0
"278",1,63,3052,2,0,3,0,0,0,0,"middle","center",0,0,0,0
"288",1,55,2055,1,0,3,0,0,0,0,"middle","center",0,20,0,0
"293",1,51,1542,4,0,2,0,0,0,0,"middle","center",0,23,1,0
"313",1,56,2367,3,0,2,0,0,0,0,"middle","center",0,4,1,0
"315",1,4,2160,1,1,3,1,0,0,0,"middle","center",0,4,0,0
"325",1,19,782,2,0,4,0,0,0,0,"left","end",0,28,0,0
"327",1,76,616,2,0,4,0,0,0,0,"right","end",0,35,0,0
"329",1,63,292,2,0,3,0,0,0,0,"left","end",0,35,0,0
"330",1,51,193,1,0,3,1,0,0,0,"left","end",0,35,0,0
"339",0,18,3041,2,0,3,1,0,0,0,"left","tackle",0,4,0,0
"343",0,56,2524,1,0,3,0,0,0,0,"left","guard",0,7,0,0
"348",0,35,2104,1,0,3,0,0,0,0,"right","tackle",0,7,0,0
"354",0,68,1630,1,0,4,1,0,0,0,"left","guard",0,13,0,0
"360",0,57,225,1,0,4,1,0,0,0,"middle","center",0,3,0,0
"364",0,36,125,1,0,3,1,0,0,0,"right","guard",0,3,0,0
"366",0,82,3594,1,0,4,0,0,0,0,"left","end",0,0,0,0
"377",0,78,1600,1,0,3,0,0,0,0,"left","tackle",0,14,0,0
"378",0,75,1560,2,0,3,0,0,0,0,"left","tackle",0,14,0,0
"380",0,55,1006,1,0,3,0,0,0,0,"right","end",0,11,0,0
"385",0,92,714,1,0,4,0,0,0,0,"right","tackle",0,12,0,0
"392",1,5,3348,1,1,3,0,0,0,0,"middle","center",0,0,0,0
"397",1,38,2931,2,0,4,1,0,0,0,"right","end",0,0,0,0
"416",1,66,530,2,0,1,1,1,0,0,"left","end",0,-11,1,0
"2",1,16,3323,1,0,5,1,0,0,0,"right","end",0,7,0,0
"8",1,48,1949,3,0,4,0,0,0,0,"middle","center",0,7,1,0
"13",1,1,1048,1,1,1,1,0,0,0,"middle","center",2,10,1,0
"14",1,60,900,2,0,3,1,0,0,0,"left","end",0,17,1,0
"17",1,8,700,1,1,5,1,0,0,0,"middle","center",0,17,0,0
"23",1,28,100,1,0,6,0,0,0,0,"middle","center",0,14,0,0
"25",1,19,85,3,0,3,0,0,0,0,"middle","center",0,14,1,0
"26",0,83,3412,1,0,6,0,0,0,0,"left","tackle",0,0,0,0
"27",0,86,3218,2,0,6,0,0,0,0,"left","tackle",0,0,1,0
"28",0,74,3151,2,0,7,1,0,0,0,"right","guard",0,0,0,0
"29",0,61,3065,2,0,8,1,0,0,0,"middle","center",0,0,0,0
"31",0,26,2863,2,0,5,1,0,0,0,"left","guard",0,0,0,0
"35",0,51,1886,1,0,5,0,0,0,0,"right","end",0,0,0,0
"37",0,66,1772,2,0,3,1,0,0,0,"left","guard",0,3,1,0
"39",0,81,1398,2,0,5,0,0,0,0,"right","guard",0,3,1,0
"41",0,99,1116,1,0,8,0,0,0,0,"middle","center",0,3,0,0
"43",0,90,1043,3,0,5,1,0,0,0,"middle","center",0,3,1,0
"44",0,85,1011,1,0,7,1,0,0,0,"left","guard",0,3,0,0
"48",0,11,773,2,0,8,1,0,0,0,"middle","center",0,3,0,0
"55",1,73,3444,2,0,8,0,0,0,0,"middle","center",0,-7,1,0
"62",1,79,2272,2,0,7,0,0,0,0,"right","end",0,-14,0,0
"64",1,70,2226,3,0,3,0,0,0,0,"middle","center",0,-14,1,0
"65",1,67,2185,1,0,8,0,0,0,0,"left","end",0,-14,0,0
"75",1,10,742,1,1,9,0,0,1,1,"right","end",0,-17,0,0
"76",1,1,728,1,1,1,0,0,0,0,"left","end",2,-17,1,0
"77",1,75,454,1,0,7,1,0,1,1,"left","end",0,-13,0,0
"79",1,96,203,1,0,5,0,0,0,0,"middle","center",0,-13,0,0
"87",0,61,2290,2,0,6,1,0,0,0,"right","tackle",0,11,0,0
"89",0,76,1941,1,0,7,0,0,0,0,"right","tackle",0,14,0,0
"94",0,30,113,2,0,5,1,0,0,0,"right","end",0,-6,0,0
"96",0,47,3539,1,0,6,1,0,0,0,"right","guard",0,0,0,0
"97",0,30,3437,1,0,5,1,0,0,0,"left","guard",0,0,0,0
"98",0,5,3269,1,1,5,1,0,0,0,"right","end",2,0,1,0
"99",0,68,3119,2,0,4,1,0,0,0,"left","tackle",0,0,1,0
"101",0,24,2906,1,0,5,1,0,0,0,"right","tackle",0,0,0,0
"112",0,43,900,1,0,7,0,0,0,0,"left","tackle",0,4,0,0
"115",0,14,761,2,0,9,1,0,0,0,"right","end",0,4,0,0
"123",1,58,3505,2,0,7,0,0,0,0,"middle","center",0,0,0,0
"126",1,49,3130,1,0,5,1,0,0,0,"middle","center",0,0,0,0
"130",1,60,1709,1,0,6,0,0,0,0,"middle","center",0,0,0,0
"136",1,59,1015,1,0,5,0,0,0,0,"middle","center",0,0,0,0
"141",1,60,369,1,0,6,0,0,0,0,"middle","center",0,7,0,0
"142",1,47,287,1,0,6,0,0,0,0,"middle","center",0,7,0,0
"144",1,18,152,1,0,9,0,0,0,0,"middle","center",0,7,0,0
"159",0,28,978,1,0,9,0,0,0,0,"right","end",0,-2,0,0
"165",0,1,27,3,1,1,0,0,0,0,"right","guard",2,-17,1,0
"166",1,89,3417,2,0,5,1,0,0,0,"middle","center",0,-6,0,0
"178",1,69,34,1,0,5,1,0,0,0,"middle","center",0,-14,0,0
"179",1,71,3565,1,0,9,1,0,0,0,"right","guard",0,0,0,0
"180",1,62,3535,2,0,3,0,0,0,0,"left","tackle",0,0,1,0
"182",1,42,3379,3,0,5,1,0,1,1,"left","end",0,0,1,0
"188",1,80,2649,1,0,5,1,0,0,0,"right","tackle",0,3,0,0
"191",1,47,2462,1,0,7,0,0,0,0,"left","end",0,3,0,0
"195",1,23,2292,2,0,7,0,0,0,0,"right","tackle",0,3,1,0
"196",1,16,2245,1,0,9,1,0,0,0,"left","end",0,3,0,0
"197",1,7,2204,2,0,6,0,0,0,0,"right","guard",0,3,1,0
"203",1,1,938,1,1,1,0,0,0,0,"right","end",2,9,1,0
"213",0,93,3382,2,0,7,1,0,0,0,"right","guard",0,0,0,0
"216",0,59,3035,1,0,6,1,0,0,0,"right","end",0,-7,0,0
"225",0,21,2386,2,0,5,0,0,0,0,"right","tackle",0,0,0,0
"227",0,85,1982,2,0,7,1,0,1,1,"left","end",0,3,0,0
"231",0,8,1533,1,1,6,0,0,0,0,"right","tackle",0,3,0,0
"236",0,5,964,1,1,5,1,0,1,1,"right","end",2,10,1,0
"237",0,64,892,1,0,5,0,0,0,0,"middle","center",0,17,0,0
"240",0,7,766,2,0,7,1,0,0,0,"middle","center",2,17,1,0
"242",0,71,503,1,0,6,0,0,0,0,"right","end",0,24,0,0
"244",0,63,409,3,0,8,0,0,0,0,"middle","center",0,24,1,0
"256",0,62,2402,1,0,8,0,0,0,0,"right","guard",0,0,0,0
"259",0,75,1910,1,0,5,1,0,0,0,"middle","center",0,4,0,0
"260",0,64,1792,1,0,5,0,0,0,0,"right","guard",0,4,0,0
"262",0,7,1530,1,1,7,0,0,0,0,"middle","center",2,18,1,0
"265",0,75,1043,1,0,8,0,0,0,0,"left","tackle",0,24,0,0
"267",0,51,929,1,0,5,0,0,0,0,"right","tackle",0,24,0,0
"270",0,8,640,2,0,5,0,0,0,0,"left","tackle",0,18,0,0
"271",0,3,594,3,0,3,0,0,0,0,"right","end",2,18,1,0
"275",0,90,266,3,0,8,1,0,0,0,"middle","center",0,22,0,0
"276",1,75,3597,2,0,5,0,0,0,0,"middle","center",0,0,0,0
"279",1,60,3009,3,0,6,1,0,0,0,"middle","center",0,0,1,0
"285",1,1,2282,2,1,1,0,0,0,0,"middle","center",2,13,1,0
"286",1,68,2177,1,0,7,0,0,0,0,"middle","center",0,20,0,0
"295",1,75,1246,1,0,5,0,0,0,0,"middle","center",0,20,0,0
