"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"86",0,63,468,2,0,4,0,0,0,0,"left","guard",0,3,0,0
"88",0,38,332,1,0,3,0,0,0,0,"right","guard",0,3,0,0
"89",0,35,289,2,0,3,0,0,0,0,"left","guard",0,3,0,0
"93",0,20,50,1,1,3,1,0,0,0,"left","tackle",0,-1,0,0
"95",0,55,3235,1,0,3,0,0,0,0,"middle","center",0,-7,0,0
"98",0,49,2752,1,0,3,0,0,0,0,"left","guard",0,-7,0,0
"107",0,25,1877,2,0,4,1,0,0,0,"middle","center",0,-7,0,0
"112",0,55,1272,2,0,2,0,0,0,0,"left","guard",0,-4,1,0
"113",0,58,1202,1,0,3,1,0,0,0,"middle","center",0,-4,0,0
"116",0,45,669,1,0,4,0,0,0,0,"middle","center",0,-4,0,0
"118",0,36,579,3,0,2,0,0,0,0,"right","tackle",0,-4,1,0
"124",1,91,3458,1,0,4,0,0,0,0,"middle","center",0,0,0,0
"125",1,80,3383,2,0,3,0,0,0,0,"middle","center",0,0,0,0
"130",1,83,2564,2,0,4,0,0,0,0,"left","end",0,-3,0,0
"132",1,57,2313,2,0,3,0,0,0,0,"middle","center",0,-3,0,0
"133",1,32,2234,1,0,3,0,0,0,0,"middle","center",0,-3,0,0
"134",1,20,2169,1,0,3,0,0,0,0,"middle","center",0,-3,0,0
"136",1,8,2052,1,1,3,0,0,0,0,"right","end",0,-3,0,0
"142",1,13,1183,2,0,3,0,0,0,0,"middle","center",0,-3,0,0
"145",1,89,457,1,0,4,0,0,0,0,"middle","center",0,-7,0,0
"156",0,43,2665,2,0,3,1,0,0,0,"left","tackle",0,0,0,0
"159",0,61,2428,1,0,4,0,0,1,1,"right","end",0,0,0,0
"169",0,48,1586,4,0,2,1,0,0,0,"middle","center",0,-1,1,0
"175",0,48,1216,1,0,3,0,0,1,1,"left","end",0,2,0,0
"178",0,8,849,1,1,3,0,0,0,0,"middle","center",0,-1,0,0
"179",0,5,805,2,1,3,1,0,1,1,"middle","center",0,-1,0,0
"180",0,81,505,1,0,3,0,0,0,0,"left","end",0,7,0,0
"181",0,72,415,3,0,2,0,0,0,0,"left","tackle",0,7,1,0
"182",0,70,368,2,0,3,0,0,0,0,"left","tackle",0,7,0,0
"188",0,12,132,3,0,4,0,0,0,0,"right","guard",0,14,0,0
"190",1,9,3505,1,1,3,0,0,0,0,"middle","center",0,0,0,0
"191",1,73,2821,1,0,3,0,0,0,0,"middle","center",0,-1,0,0
"195",1,64,2372,2,0,3,1,0,0,0,"left","end",0,6,0,0
"202",1,64,1903,1,0,3,1,0,1,1,"right","guard",0,9,0,0
"208",1,9,1086,1,1,3,1,0,0,0,"middle","center",0,12,0,0
"219",1,67,3124,1,0,3,0,0,0,0,"right","guard",0,-3,0,0
"224",1,16,1949,2,0,4,1,0,0,0,"left","tackle",0,-9,0,0
"225",1,56,1725,1,0,4,0,0,0,0,"left","tackle",0,-6,0,0
"227",1,27,1561,1,0,4,1,0,0,0,"middle","center",0,-6,0,0
"230",1,65,1123,1,0,3,1,0,0,0,"left","tackle",0,-9,0,0
"231",1,37,804,3,0,2,1,0,0,0,"left","tackle",0,-16,1,0
"235",0,67,3484,1,0,4,0,0,0,0,"right","end",0,0,0,0
"243",0,72,3593,1,0,3,0,0,0,0,"right","tackle",0,0,0,0
"257",0,70,1519,1,0,3,0,0,0,0,"middle","center",0,-25,0,0
"264",0,4,740,2,1,3,1,1,0,0,"left","guard",0,-24,0,0
"266",0,34,389,2,0,3,1,1,0,0,"right","guard",0,-25,0,0
"271",1,36,3135,1,0,4,1,0,0,0,"left","end",0,0,0,0
"272",1,75,2859,1,0,3,0,0,0,0,"middle","center",0,-13,0,0
"282",1,7,871,1,1,4,1,0,0,0,"middle","center",0,-20,0,0
"284",1,8,522,1,1,4,1,1,1,1,"left","end",0,-12,0,0
"286",1,80,213,3,0,4,1,0,1,1,"middle","center",0,-12,0,0
"289",1,57,3495,2,0,3,0,0,0,0,"middle","center",0,0,0,0
"293",1,39,3335,1,0,3,1,0,0,0,"left","end",0,0,0,0
"296",1,11,3181,3,0,3,1,0,1,1,"left","end",0,0,0,0
"304",1,61,1604,4,0,2,0,0,0,0,"middle","center",0,-28,1,0
"308",1,54,445,1,0,4,1,0,0,0,"left","end",0,-35,0,0
"313",0,13,3235,3,0,3,1,0,1,1,"middle","center",0,-7,0,0
"314",0,66,2983,2,0,3,1,0,0,0,"left","end",0,-7,0,0
